Label,Text
empty,@ tiffanylue know be listenin bad habit early start freakin at his part = [
sadness,layin bed headache ughhhh ... waitin your call ...
sadness,funeral ceremony ... gloomy friday ...
enthusiasm,want hang out friend soon !
neutral,"@ dannycastillo we want trade someone who have houston ticket , but no one will ."
worry,re - pinging @ ghostridah14 : why do not go prom ? bc bf do not like friend
sadness,"should be sleep , but I m not ! think about an old friend who want . but he be marry now . damn , & amp ; he want ! scandalous !"
worry,hmmm . http : //www.djhero.com/ down
sadness,@ charviray charlene love . miss
sadness,@ kelcouch ' m sorry at least be friday ?
neutral,can not fall asleep
worry,choke her retainer
sadness,ugh ! beat this stupid song get next rude !
sadness,@ brodyjenner if watch hill london will realise what tourture because be week week late just watch itonlinelol
surprise,get news
sadness,storm here electricity go
love,@ annarosekerr agree
sadness,sleepy again be not even late . fail once again .
worry,@ perezhilton lady gaga tweet about not be impress by her video leak just know
sadness,how be convince always want ? what signal do give off ... damn think just lose another friend
worry,@ raaaaaaek oh too bad ! hope get well . ' ve be have sleep issue lately too
fun,"wonder why ' m awake at 7 am , write new song , plot evil secret plot muahahaha ... oh damn , not secret anymore"
neutral,no topic map talk at balisage markup conference program online at http : //tr.im / ml6z ( via @ bobdc ) # topicmap
worry,eat something do not know what ... why do keep tell thing about food
sadness,tired think ' m definitely go get an ear infection . go bed & quot ; early & quot ; once .
worry,way home having deal underage girl drink gin da bus while talk bout kegger ...... damn feel old
sadness,"@ isaacmascote ' m sorry people be rude , isaac , they should get some manner know well than be lewd !"
worry,damm server still down need hit before all koxper pass
sadness,fudge .... just bs have whole paper .... tired .... ugh hate school ..... time sleep ! ! ! ! ! ! ! ! ! ! !
worry,hate cancer . hate hate hate .
hate,annoying when she start type her computer middle night !
neutral,@ cynthia_123 can not sleep
neutral,miss bl * * * y bus ! ! ! ! ! ! ! !
neutral,feel strong contraction but want go out . http : //plurk.com / p / wxidk
neutral,socal ! stoke . or maybe not .. tomorrow
neutral,screw @ davidbrussee ! only week ...
sadness,@ ether_radio yeah : s feel all funny cause not sleep enough wake mum up cause be singe she be not impressed : s ?
worry,need skott right now
neutral,have work this afternoon
neutral,@ gabbyisactive aw would not unfollow would ? then would cry
happiness,mmm much well day ... far ! be still quite early . last day # ud
fun,@ davidarchie & lt ; your go to be first twitter ; ) cause your amazing lol . come canada would do anything see perform
worry,just pick up her blackberry from middle street ! both she be crush !
worry,why do feeling should be pack hit sfo around this time year ? think ' m miss something ...
empty,@ creyes middle school elem . high school will remain open those who need credit graduate . cali broken
worry,"bed ! ! ! ! ! ... its time , ..... hope go school tomorrow , all though do not feel very well right now"
worry,"@ onscrn ahh . ... well , be hope could learn some stuff way . ... why not work separate thing but also"
sadness,' m have problem photo here twitter amf ! ! ! ... can not see face !
neutral,"@ jakeboyd , oh noooo ! if blow tire be reaaaally go send up some batman smoke ."
neutral,wnna take bath ! ! ! !
neutral,chocolate milk much well through straw . lack say straw
worry,why be tired ?
